profile; file_name; recorded_at; total_records
hh; 2023-01-30 ch 2 a.txt; Sun Oct 22 2023 10:37:22 GMT-0300 (Horário Padrão de Brasília); 27
hh; 2023-01-30 ch 2 a_2.txt; Sun Oct 22 2023 10:37:22 GMT-0300 (Horário Padrão de Brasília); 479
hh; 2023-01-30 ch c10_hh.txt; Sun Oct 22 2023 10:37:22 GMT-0300 (Horário Padrão de Brasília); 9984
hh; 2023-02-01 dch_c10_hh.txt; Sun Oct 22 2023 10:37:22 GMT-0300 (Horário Padrão de Brasília); 36230
hh; 2023-02-07_ciclagem_c10_hh.txt; Sun Oct 22 2023 10:37:22 GMT-0300 (Horário Padrão de Brasília); 116823
hh; 2023-02-08_ciclagem_c10_hh.txt; Sun Oct 22 2023 10:37:22 GMT-0300 (Horário Padrão de Brasília); 166413
